anciennete_jours,montant,heure,nouveau_beneficiaire,solde_avant,nb_virements_1h,changement_mdp,minutes_depuis_chg_mdp,localisation,nb_virements_vers_benef,fraude
40,1987912,7,1,2977503,13,0,9736,0,8,1
842,127802,10,1,1341079,0,0,29428,0,8,0
1912,117189,12,1,134645,0,0,34781,1,1,0
13,850853,5,0,1182134,12,0,4540,0,0,1
1160,195073,12,0,3194315,0,0,23104,1,8,0
76,1874712,1,0,3900638,15,1,10,0,2,1
92,412095,23,0,902367,5,0,3836,0,9,1
613,88172,7,0,2244018,2,0,32023,0,16,0
41,1987963,18,1,2572805,11,1,18,0,13,1
1931,159142,11,1,1637697,1,0,37418,1,2,0
50,1725797,8,1,3811649,15,0,1521,0,4,1
50,1153177,19,1,3631750,9,0,5091,1,3,1
827,63897,14,0,1631185,2,0,17241,0,6,0
356,102652,8,0,1802652,2,0,10764,1,18,0
51,669691,3,0,2489799,9,1,28,1,7,1
594,196124,3,0,2241955,0,0,21256,0,14,0
62,1079807,6,0,3679964,14,0,6144,1,13,1
99,364193,12,1,2854779,11,0,6834,0,18,1
3,1423960,23,1,1822686,13,1,54,1,10,1
97,1628980,8,1,1783250,14,1,55,1,11,1
33,659853,11,1,796406,12,1,47,0,12,1
415,197339,10,0,3188017,2,0,32548,0,4,0
663,166144,21,0,3086733,2,0,36500,0,19,0
1,1699139,6,1,3048327,13,0,8390,1,8,1
1912,185683,11,1,1907343,0,0,14865,1,14,0
892,157500,0,0,2143559,0,0,3196,0,16,0
1948,158129,18,0,2758934,0,0,32906,1,1,0
1118,161539,9,0,1612455,2,0,3469,1,15,0
1883,131256,16,0,1903553,1,0,29777,1,16,0
329,144643,17,0,2069995,0,0,43295,1,12,0
26,346657,11,0,2045237,8,0,2003,1,18,1
33,776729,18,0,1498156,11,0,8325,1,3,1
1750,186227,5,0,2645756,2,0,49275,1,4,0
504,196822,4,1,373928,2,0,7398,0,11,0
96,416740,12,0,2361622,7,0,3108,1,6,1
63,1980453,11,0,1997449,12,1,54,0,19,1
34,1889755,21,1,2214508,7,1,33,1,3,1
1469,118809,18,1,2419578,1,0,7577,1,10,0
64,1425306,19,0,2008771,6,0,5688,0,16,1
585,172582,5,1,2067664,1,0,43765,1,7,0
43,692119,13,0,3593851,9,0,9476,0,16,1
1262,5652,19,1,1328320,0,0,18719,1,1,0
1458,27679,9,1,1906398,2,0,21578,0,2,0
11,1346716,6,0,1632376,7,1,32,0,12,1
1837,170331,21,1,1419049,1,0,33327,1,11,0
99,992055,15,0,1360440,15,1,43,0,11,1
328,23921,6,0,1188102,1,0,48567,0,15,0
643,1098,12,0,750551,2,0,39322,0,17,0
24,1670003,6,1,3927199,10,0,1051,0,2,1
1468,12295,22,0,619105,2,0,16250,0,0,0
1969,68794,3,0,575376,0,0,43694,0,4,0
99,1453533,14,1,1556737,14,1,5,1,8,1
60,1509420,15,0,4373642,11,1,56,1,10,1
34,990224,3,0,2767595,8,1,11,1,0,1
25,536797,16,1,1110741,11,0,3944,0,11,1
1009,194602,14,1,1917003,1,0,22282,0,3,0
939,105754,20,1,1906542,0,0,17201,0,0,0
1905,9516,6,1,1806835,0,0,11045,0,18,0
29,1144285,1,1,1307312,13,1,48,1,11,1
29,918018,13,0,1319570,7,1,39,1,5,1
1056,48751,16,0,1810950,0,0,33764,0,8,0
1492,76046,14,1,1105419,0,0,42370,1,1,0
45,748646,14,0,2762971,5,0,5306,1,5,1
73,889489,8,1,3683187,12,0,9493,0,9,1
14,392630,11,0,1854161,5,0,4228,0,16,1
1935,194962,13,0,1083329,2,0,31455,0,10,0
3,1618043,17,1,2827614,12,1,26,0,14,1
88,774426,7,1,3304756,7,0,7181,0,5,1
96,385162,0,0,1561984,10,0,8793,1,8,1
9,732332,20,0,1078756,10,0,2211,1,16,1
58,396931,16,1,1476965,8,1,47,0,19,1
76,1650243,6,1,1815835,9,0,9140,1,4,1
47,1058804,11,0,3718826,11,0,1533,0,14,1
234,163950,16,1,1079409,0,0,13216,0,19,0
951,81214,6,0,869050,0,0,37059,0,0,0
40,1320138,20,0,3753719,10,1,8,0,17,1
84,683874,5,1,2811326,15,0,4593,0,17,1
353,112171,7,1,2074693,2,0,49748,1,5,0
238,4263,10,0,1004362,1,0,7006,0,15,0
901,77897,19,1,687742,0,0,3552,1,0,0
1946,64440,15,0,2613293,1,0,33016,0,4,0
527,118625,18,0,1083792,0,0,49167,1,3,0
23,882566,23,0,1758204,8,1,1,0,2,1
1816,176549,15,0,997774,0,0,20775,0,16,0
659,15608,11,1,366227,2,0,16722,0,19,0
758,138348,8,1,240333,0,0,11464,1,1,0
892,174552,0,0,1787646,1,0,3666,0,8,0
34,351683,15,1,1161518,5,0,801,0,13,1
94,1471818,7,1,4233947,14,0,894,1,6,1
946,68364,5,0,601163,1,0,17193,1,6,0
54,940508,19,1,1349480,12,1,12,1,13,1
43,994938,8,0,3072284,5,1,25,0,15,1
57,1242081,19,0,2282435,8,1,12,1,20,1
34,1748789,14,0,4458521,15,1,39,1,2,1
90,1694079,11,1,2978291,12,0,8847,0,5,1
55,1288693,21,0,2660752,8,1,22,1,18,1
1875,87742,19,0,1486429,1,0,46665,0,19,0
9,657106,18,1,2256808,12,1,7,0,12,1
1220,110094,7,0,2527073,0,0,11164,0,1,0
1536,38296,8,0,2446692,1,0,25296,1,17,0
1526,164107,1,0,1093252,0,0,27233,0,15,0
94,1845496,1,0,4095915,6,1,40,0,18,1
67,1163986,11,1,1479722,5,0,7695,1,5,1
40,1852484,8,1,3719852,8,0,9816,0,0,1
865,13511,19,0,1022513,1,0,32516,1,17,0
65,851787,9,0,3639419,6,1,39,1,12,1
76,318462,22,0,1344102,15,1,41,0,16,1
38,1908479,15,0,4803541,12,1,49,1,18,1
71,1660830,16,0,2558042,12,1,29,0,17,1
726,90952,19,1,609369,0,0,19167,1,18,0
769,69434,7,0,1368525,0,0,48738,1,8,0
1604,117521,13,1,1963946,1,0,33409,0,15,0
947,50201,16,0,408487,1,0,3146,1,6,0
58,770696,3,1,1402463,6,1,60,1,12,1
43,515439,0,1,3461455,11,1,28,0,14,1
233,65730,13,0,1992828,1,0,19378,1,5,0
7,1883060,14,1,2999539,10,0,4821,0,10,1
90,1706333,5,0,2777719,6,1,55,0,15,1
1243,110540,15,0,1289252,0,0,1250,1,14,0
67,1741325,5,1,3433621,9,1,38,1,15,1
1679,160891,4,1,392284,1,0,7167,0,17,0
1129,28288,14,0,1315940,2,0,25252,0,16,0
21,1075782,7,1,1615503,13,0,4404,0,5,1
65,852261,15,0,1398178,10,1,10,0,18,1
43,1886250,20,0,3646300,6,0,3079,0,11,1
1665,24990,16,1,2900875,1,0,38522,0,15,0
97,1292418,13,0,1696201,11,1,15,1,2,1
44,1243526,3,0,1924322,6,1,55,0,12,1
84,1849586,13,1,1991693,15,1,53,0,10,1
10,1930745,18,1,3975654,9,1,25,0,12,1
1988,144805,13,1,2482318,1,0,21836,0,2,0
400,98869,14,0,196134,2,0,9590,0,15,0
1191,11556,1,1,1129779,1,0,16624,1,18,0
476,139121,5,1,427240,2,0,34703,0,12,0
25,1911579,2,1,4856099,6,0,4792,0,4,1
37,953951,3,0,3493583,12,0,3175,0,9,1
822,48516,6,1,2882909,0,0,29057,1,0,0
23,1917888,10,0,1951254,9,0,8795,1,16,1
278,60134,2,0,1221701,1,0,31557,0,15,0
56,1181012,14,1,2759962,7,1,24,1,10,1
1004,59013,1,0,346987,1,0,47562,1,17,0
1461,7020,11,1,2063261,1,0,1743,0,4,0
58,847113,9,0,900519,12,1,24,1,2,1
83,1998278,20,1,4979030,9,0,1372,0,16,1
449,168823,1,0,2861741,1,0,19219,1,8,0
51,1227333,22,1,3010199,11,0,7100,1,2,1
89,614807,21,0,1676687,9,0,1305,0,13,1
84,983789,12,1,1323564,11,1,54,0,5,1
320,37621,16,1,84590,2,0,35602,0,1,0
96,1661118,20,0,2783561,9,0,8476,1,11,1
55,604035,11,1,2101207,13,1,43,0,10,1
54,1706559,21,1,2931530,6,0,6611,1,1,1
61,969217,19,0,2299093,8,0,5301,0,16,1
66,1546763,1,0,1633114,10,0,5758,0,2,1
1573,59659,14,1,245860,2,0,47413,0,13,0
99,1649638,1,1,4406066,13,0,4391,1,11,1
68,843753,15,1,3501666,7,0,4226,1,20,1
1710,26613,16,0,588279,1,0,16543,1,17,0
49,665112,11,1,1446882,10,0,7759,0,0,1
1556,186085,10,0,1148767,0,0,42072,1,7,0
1034,153528,20,0,2311835,0,0,49115,1,7,0
12,1108979,16,0,1737482,6,1,40,0,7,1
1133,177323,17,1,2342470,2,0,10934,0,19,0
1182,3132,15,1,2857903,0,0,13230,0,11,0
61,1065572,14,0,2963717,15,0,3509,1,16,1
46,906705,17,1,1354195,13,0,5686,1,3,1
964,137796,13,0,2625465,1,0,44590,0,0,0
768,162220,2,1,2958799,0,0,34964,1,5,0
739,109121,12,1,1157781,0,0,19889,1,9,0
59,422538,13,0,2330880,15,0,4513,1,19,1
1625,96964,15,0,2243234,2,0,23731,0,13,0
1625,159520,13,1,1100726,2,0,45312,0,13,0
1673,83372,10,1,2753903,1,0,38673,1,10,0
1055,58510,15,0,2666848,1,0,22782,1,20,0
57,1193783,6,1,2831613,7,1,16,0,18,1
1321,97434,2,1,3056772,0,0,43914,0,12,0
97,1314977,13,1,3406520,11,0,1978,0,16,1
711,63427,1,1,1352839,1,0,38089,0,13,0
41,889972,0,1,2937689,7,1,11,0,2,1
1064,198853,10,0,2280898,1,0,18256,0,18,0
1236,72105,16,0,2009612,0,0,6182,0,7,0
15,817399,5,0,1554005,7,1,22,1,4,1
78,1528932,17,1,2287885,11,1,13,1,4,1
82,916523,21,1,1573598,9,1,30,0,1,1
1318,123812,5,1,2738458,2,0,36274,0,6,0
34,1666150,16,1,4156944,12,0,3875,0,2,1
19,1585214,18,0,4306416,15,1,60,1,13,1
47,589175,0,0,2218189,5,0,4950,1,12,1
1765,112816,7,0,1052131,1,0,37979,1,10,0
85,1032164,19,1,1587013,7,0,775,0,14,1
671,88956,14,0,1566585,1,0,31479,1,5,0
846,41629,19,1,2770659,2,0,4206,0,12,0
968,48794,2,1,2356472,2,0,17553,0,8,0
561,86944,19,0,517788,0,0,23437,1,18,0
40,1611277,21,0,3148526,10,1,44,0,1,1
1188,89631,10,0,1544037,1,0,29048,0,3,0
67,486917,18,1,3059996,14,1,19,0,0,1
862,11242,18,1,684029,0,0,38137,0,8,0
13,500808,16,0,2130984,9,0,1489,0,10,1
991,117911,21,0,152470,2,0,22638,0,19,0
93,611470,2,0,3404658,10,1,30,0,10,1
295,124243,3,1,1816916,2,0,33283,1,20,0
1059,134497,21,0,1933589,0,0,35906,0,2,0
513,95968,4,0,2041400,0,0,26389,1,10,0
371,106861,12,1,2674274,2,0,25636,1,2,0
1765,167758,17,1,393790,1,0,39751,1,16,0
1763,116850,1,0,2594063,0,0,40937,1,11,0
440,39750,3,1,2258174,1,0,30794,0,14,0
15,1420707,23,1,2817534,8,1,5,1,9,1
1460,154428,12,0,438380,2,0,21098,1,8,0
32,515053,2,0,3166391,7,1,12,0,14,1
1478,155876,17,0,2389232,1,0,46787,1,15,0
1253,147033,9,0,2236205,1,0,47980,1,19,0
43,584720,5,0,2878729,9,1,34,0,8,1
773,189847,7,1,489288,0,0,20140,1,6,0
1763,191578,2,1,1467996,2,0,36523,1,19,0
1325,2084,19,1,941035,2,0,13214,1,11,0
2,1029725,16,1,1371376,9,0,4455,1,18,1
673,61651,2,1,227718,1,0,30776,1,13,0
947,107853,11,0,1723173,2,0,37623,0,13,0
388,86113,19,0,3003968,1,0,38337,1,20,0
1572,43099,19,1,2328637,2,0,16429,1,12,0
97,1949264,1,1,2370437,15,0,6304,0,11,1
587,164826,19,0,2856583,1,0,34907,1,11,0
703,167503,7,0,400142,2,0,36607,0,5,0
20,1983631,3,1,2700400,5,0,9885,1,3,1
43,457888,5,0,1818962,6,0,9235,1,12,1
396,69385,20,0,820377,0,0,43502,0,18,0
383,45532,11,1,632236,2,0,14443,0,18,0
531,105891,21,1,2897997,1,0,17768,0,10,0
434,185021,10,0,1798761,2,0,18735,1,19,0
1629,61192,18,1,2485637,0,0,4057,0,0,0
47,1105872,13,1,1582187,15,1,54,0,16,1
1611,51352,6,0,2338156,1,0,16351,0,14,0
60,1791856,20,1,1831687,9,0,3039,0,16,1
57,1010696,12,1,3549346,9,1,59,0,2,1
1247,176435,14,1,733694,0,0,16086,0,19,0
894,140233,5,1,789166,0,0,40472,0,20,0
28,801858,16,1,1262007,11,1,25,1,20,1
1562,152277,16,1,1851469,2,0,17370,0,18,0
42,898772,9,1,1794818,10,0,3128,1,2,1
463,15884,4,0,3002132,2,0,41128,0,18,0
22,1864041,6,0,3303830,14,0,451,1,16,1
64,1167969,13,0,4034842,15,0,1901,1,0,1
44,1950110,0,0,3855489,15,0,9431,1,7,1
98,857067,3,1,2791140,9,0,5283,0,12,1
1583,199753,20,1,2224781,2,0,24616,1,18,0
1505,111531,15,1,1106503,0,0,19583,1,13,0
516,8847,21,1,2556453,0,0,14589,1,1,0
26,540076,13,0,2741167,12,0,7667,1,7,1
1626,73543,14,1,2479443,0,0,22591,1,14,0
56,1141287,9,1,1868173,5,0,7257,0,18,1
27,856031,15,0,2618918,10,0,9277,0,1,1
1612,32614,21,1,380912,0,0,25929,1,20,0
1244,15955,14,1,2918675,1,0,9102,1,1,0
58,1681052,3,0,2650537,11,1,33,1,19,1
61,1696511,12,0,2226582,6,0,3864,0,14,1
32,1763779,10,0,2938454,11,0,236,0,0,1
61,1478036,15,1,1768428,7,1,5,1,11,1
15,1932020,17,1,4573160,11,0,8332,0,6,1
59,898867,21,1,3608708,15,0,5442,1,6,1
1486,32912,0,1,680274,1,0,31847,1,11,0
291,39834,5,0,2644790,2,0,4094,0,12,0
227,188859,22,0,830442,1,0,38584,0,0,0
1006,22377,5,0,2082168,0,0,48233,1,10,0
29,1136007,1,1,2938050,10,1,18,1,20,1
14,1642728,13,1,4561556,5,0,8166,0,5,1
17,1903186,10,1,4858387,13,1,15,0,0,1
23,1988806,5,0,3136744,13,1,27,0,17,1
1703,191563,18,0,2681617,0,0,20728,0,14,0
1205,175780,13,1,2437427,0,0,48577,1,14,0
57,1886947,4,1,4370795,5,1,0,1,0,1
78,1264939,16,1,3962559,6,0,1120,1,16,1
631,132304,0,1,1302275,1,0,39970,0,19,0
99,324414,19,0,1398184,5,0,3528,1,19,1
83,1195148,7,0,2749832,9,1,2,1,18,1
844,105342,5,1,304754,0,0,45025,1,17,0
1512,197888,19,1,2800712,0,0,1545,0,13,0
42,1759842,17,0,2145813,12,0,4410,0,1,1
95,483954,1,1,3314173,14,0,9452,0,15,1
35,1094629,22,1,2995432,12,0,3962,0,11,1
98,1017382,7,0,2862405,15,1,23,0,11,1
1639,27892,20,0,2668181,0,0,46116,0,16,0
81,1428323,5,1,2296482,13,0,125,0,4,1
91,1778812,11,1,2539243,10,1,15,1,13,1
4,1894773,7,0,3217329,12,0,510,1,2,1
66,996055,4,1,3318189,13,0,3202,1,19,1
82,1582000,2,1,4488823,9,1,43,1,4,1
1294,101236,0,1,660316,0,0,15430,0,14,0
451,35834,14,0,1900011,0,0,21428,0,4,0
558,159110,13,1,2414986,0,0,14502,1,0,0
95,1695589,17,0,4568238,10,0,7600,1,7,1
67,902783,16,1,1170398,5,1,50,1,15,1
72,1442014,13,1,2292516,13,0,3089,0,12,1
26,1781407,9,0,2075000,15,0,5443,0,7,1
46,1845402,14,0,3429454,6,0,8123,0,5,1
588,111077,17,0,490764,2,0,33097,0,16,0
78,701208,1,1,2473009,6,0,5946,1,12,1
1069,93166,16,0,834888,2,0,28083,0,16,0
247,184953,1,1,816493,2,0,2996,0,7,0
58,747421,14,1,2440644,12,0,3259,0,16,1
8,1980985,2,1,2711049,8,1,8,0,5,1
458,185954,9,0,2354430,1,0,8592,0,3,0
61,1523834,6,0,3661385,10,1,33,1,12,1
2,488511,18,1,2638551,9,1,50,0,15,1
83,781268,11,0,1252029,14,1,53,0,6,1
11,1071592,2,1,3510937,10,1,14,1,19,1
95,594591,11,1,927921,9,0,3537,0,7,1
69,967075,0,0,1352053,13,1,19,0,14,1
296,59883,8,1,258814,2,0,16674,0,16,0
1378,107850,23,1,1755903,0,0,29369,1,7,0
482,37700,2,1,368500,2,0,44175,0,13,0
76,1774844,6,1,2910269,12,1,1,0,10,1
94,1806503,7,0,3381892,12,0,6272,1,14,1
593,24963,2,1,1582315,0,0,44155,0,17,0
800,187260,20,0,1078323,0,0,43307,0,6,0
73,884930,12,0,1160479,8,1,34,0,5,1
32,1945440,6,0,3117486,9,0,9143,1,9,1
731,157176,19,0,2827842,1,0,19148,0,14,0
23,962000,12,0,2252923,9,0,6398,0,3,1
59,1915094,13,0,3315682,8,1,40,1,0,1
96,627779,6,0,2835139,10,1,39,0,15,1
54,1668330,5,1,2559454,7,1,54,0,17,1
70,444512,14,0,844374,8,0,4982,1,12,1
1136,193688,17,1,2494114,2,0,31991,0,6,0
389,79670,20,0,2031934,2,0,3142,1,4,0
53,1887451,14,1,4814460,5,0,5897,1,17,1
923,94318,21,1,910899,1,0,1206,1,15,0
